"","state","response","n"
"1","Alabama","average",1
"2","Alabama","worst",10
"3","Alaska","average",5
"4","Alaska","best",2
"5","Alaska","worst",4
"6","Arizona","average",10
"7","Arizona","worst",1
"8","Arkansas","average",4
"9","Arkansas","avergae",1
"10","Arkansas","worst",6
"11","California","average",4
"12","California","best",6
"13","California","worst",1
"14","Colorado","average",5
"15","Colorado","best",6
"16","Connecticut","average",2
"17","Connecticut","best",9
"18","Delaware","average",8
"19","Delaware","best",3
"20","Florida","average",3
"21","Florida","best",3
"22","Florida","worst",5
"23","Georgia","average",5
"24","Georgia","worst",6
"25","Hawaii","average",7
"26","Hawaii","best",4
"27","Idaho","average",6
"28","Idaho","worst",5
"29","Illinois","average",6
"30","Illinois","best",4
"31","Illinois","worst",1
"32","Indiana","average",10
"33","Indiana","best",1
"34","Iowa","average",9
"35","Iowa","worst",2
"36","Kansas","average",6
"37","Kansas","best",1
"38","Kansas","worst",4
"39","Kentucky","average",2
"40","Kentucky","worst",9
"41","Louisiana","average",2
"42","Louisiana","worst",9
"43","Maine","average",4
"44","Maine","best",6
"45","Maine","worst",1
"46","Maryland","average",4
"47","Maryland","best",7
"48","Massachusetts","average",4
"49","Massachusetts","best",5
"50","Massachusetts","worst",2
"51","Michigan","average",6
"52","Michigan","best",4
"53","Michigan","worst",1
"54","Minnesota","average",5
"55","Minnesota","best",4
"56","Minnesota","worst",2
"57","Mississippi","average",3
"58","Mississippi","worst",8
"59","Missouri","average",5
"60","Missouri","worst",6
"61","Montana","average",6
"62","Montana","worst",5
"63","Nebraska","average",6
"64","Nebraska","worst",5
"65","Nevada","average",9
"66","Nevada","worst",2
"67","New.Hampshire","average",5
"68","New.Hampshire","best",6
"69","New.Jersey","average",5
"70","New.Jersey","best",2
"71","New.Jersey","worst",4
"72","New.Mexico","average",9
"73","New.Mexico","worst",2
"74","New.York","average",4
"75","New.York","best",5
"76","New.York","worst",2
"77","North.Carolina","average",8
"78","North.Carolina","best",1
"79","North.Carolina","worst",2
"80","North.Dakota","average",6
"81","North.Dakota","best",1
"82","North.Dakota","worst",4
"83","Ohio","average",10
"84","Ohio","best",1
"85","Oklahoma","average",2
"86","Oklahoma","worst",9
"87","Oregon","average",5
"88","Oregon","best",6
"89","Pennsylvania","average",9
"90","Pennsylvania","best",1
"91","Pennsylvania","worst",1
"92","Rhode.Island","average",3
"93","Rhode.Island","best",7
"94","Rhode.Island","worst",1
"95","South.Carolina","average",5
"96","South.Carolina","best",1
"97","South.Carolina","worst",5
"98","South.Dakota","average",7
"99","South.Dakota","best",1
"100","South.Dakota","worst",3
"101","Tennessee","average",3
"102","Tennessee","worst",8
"103","Texas","average",3
"104","Texas","best",1
"105","Texas","worst",7
"106","Utah","average",9
"107","Utah","worst",2
"108","Vermont","average",3
"109","Vermont","best",8
"110","Virginia","average",8
"111","Virginia","best",2
"112","Virginia","worst",1
"113","Washington","average",3
"114","Washington","best",7
"115","Washington","worst",1
"116","West.Virginia","average",5
"117","West.Virginia","worst",6
"118","Wisconsin","average",5
"119","Wisconsin","best",5
"120","Wisconsin","worst",1
"121","Wyoming","average",6
"122","Wyoming","best",3
"123","Wyoming","worst",2
